eleccion_tipo,seccion_nombre,circuito_nombre,mesa_id,mesa_electores,agrupacion_nombre,votos_tipo,votos_cantidad
GENERAL,Comuna 01,1,20,342,,NULO,3
GENERAL,Comuna 01,1,20,342,,IMPUGNADO,0
GENERAL,Comuna 01,1,20,342,,RECURRIDO,0
GENERAL,Comuna 01,1,20,342,,COMANDO,0
GENERAL,Comuna 01,1,21,343,UNION POR LA PATRIA,POSITIVO,110
GENERAL,Comuna 01,1,21,343,JUNTOS POR EL CAMBIO,POSITIVO,82
GENERAL,Comuna 01,1,21,343,LA LIBERTAD AVANZA,POSITIVO,35
GENERAL,Comuna 01,1,21,343,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,16
GENERAL,Comuna 01,1,21,343,HACEMOS POR NUESTRO PAIS,POSITIVO,5
GENERAL,Comuna 01,1,21,343,,EN BLANCO,6
GENERAL,Comuna 01,1,21,343,,NULO,5
GENERAL,Comuna 01,1,21,343,,IMPUGNADO,0
GENERAL,Comuna 01,1,21,343,,RECURRIDO,0
GENERAL,Comuna 01,1,21,343,,COMANDO,0
GENERAL,Comuna 01,1,22,345,UNION POR LA PATRIA,POSITIVO,98
GENERAL,Comuna 01,1,22,345,JUNTOS POR EL CAMBIO,POSITIVO,94
GENERAL,Comuna 01,1,22,345,LA LIBERTAD AVANZA,POSITIVO,42
GENERAL,Comuna 01,1,22,345,HACEMOS POR NUESTRO PAIS,POSITIVO,9
GENERAL,Comuna 01,1,22,345,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,8
GENERAL,Comuna 01,1,22,345,,EN BLANCO,6
GENERAL,Comuna 01,1,22,345,,NULO,0
GENERAL,Comuna 01,1,22,345,,IMPUGNADO,0
GENERAL,Comuna 01,1,22,345,,RECURRIDO,1
GENERAL,Comuna 01,1,22,345,,COMANDO,2
GENERAL,Comuna 01,1,23,344,UNION POR LA PATRIA,POSITIVO,99
GENERAL,Comuna 01,1,23,344,JUNTOS POR EL CAMBIO,POSITIVO,76
GENERAL,Comuna 01,1,23,344,LA LIBERTAD AVANZA,POSITIVO,56
GENERAL,Comuna 01,1,23,344,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,1,23,344,HACEMOS POR NUESTRO PAIS,POSITIVO,5
GENERAL,Comuna 01,1,23,344,,EN BLANCO,5
GENERAL,Comuna 01,1,23,344,,NULO,4
GENERAL,Comuna 01,1,23,344,,IMPUGNADO,0
GENERAL,Comuna 01,1,23,344,,RECURRIDO,0
GENERAL,Comuna 01,1,23,344,,COMANDO,0
GENERAL,Comuna 01,1,24,345,UNION POR LA PATRIA,POSITIVO,113
GENERAL,Comuna 01,1,24,345,JUNTOS POR EL CAMBIO,POSITIVO,69
GENERAL,Comuna 01,1,24,345,LA LIBERTAD AVANZA,POSITIVO,45
GENERAL,Comuna 01,1,24,345,HACEMOS POR NUESTRO PAIS,POSITIVO,8
GENERAL,Comuna 01,1,24,345,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,6
GENERAL,Comuna 01,1,24,345,,EN BLANCO,4
GENERAL,Comuna 01,1,24,345,,NULO,2
GENERAL,Comuna 01,1,24,345,,IMPUGNADO,0
GENERAL,Comuna 01,1,24,345,,RECURRIDO,0
GENERAL,Comuna 01,1,24,345,,COMANDO,0
GENERAL,Comuna 01,1,25,344,UNION POR LA PATRIA,POSITIVO,112
GENERAL,Comuna 01,1,25,344,JUNTOS POR EL CAMBIO,POSITIVO,65
GENERAL,Comuna 01,1,25,344,LA LIBERTAD AVANZA,POSITIVO,41
GENERAL,Comuna 01,1,25,344,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,1,25,344,HACEMOS POR NUESTRO PAIS,POSITIVO,9
GENERAL,Comuna 01,1,25,344,,EN BLANCO,4
GENERAL,Comuna 01,1,25,344,,NULO,0
GENERAL,Comuna 01,1,25,344,,IMPUGNADO,0
GENERAL,Comuna 01,1,25,344,,RECURRIDO,0
GENERAL,Comuna 01,1,25,344,,COMANDO,2
GENERAL,Comuna 01,1,26,339,UNION POR LA PATRIA,POSITIVO,96
GENERAL,Comuna 01,1,26,339,JUNTOS POR EL CAMBIO,POSITIVO,84
GENERAL,Comuna 01,1,26,339,LA LIBERTAD AVANZA,POSITIVO,51
GENERAL,Comuna 01,1,26,339,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,11
GENERAL,Comuna 01,1,26,339,HACEMOS POR NUESTRO PAIS,POSITIVO,4
GENERAL,Comuna 01,1,26,339,,EN BLANCO,1
GENERAL,Comuna 01,1,26,339,,NULO,1
GENERAL,Comuna 01,1,26,339,,IMPUGNADO,0
GENERAL,Comuna 01,1,26,339,,RECURRIDO,0
GENERAL,Comuna 01,1,26,339,,COMANDO,0
GENERAL,Comuna 01,1,27,342,UNION POR LA PATRIA,POSITIVO,105
GENERAL,Comuna 01,1,27,342,JUNTOS POR EL CAMBIO,POSITIVO,85
GENERAL,Comuna 01,1,27,342,LA LIBERTAD AVANZA,POSITIVO,30
GENERAL,Comuna 01,1,27,342,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,13
GENERAL,Comuna 01,1,27,342,HACEMOS POR NUESTRO PAIS,POSITIVO,8
GENERAL,Comuna 01,1,27,342,,EN BLANCO,5
GENERAL,Comuna 01,1,27,342,,NULO,0
GENERAL,Comuna 01,1,27,342,,IMPUGNADO,0
GENERAL,Comuna 01,1,27,342,,RECURRIDO,0
GENERAL,Comuna 01,1,27,342,,COMANDO,0
GENERAL,Comuna 01,1,28,342,JUNTOS POR EL CAMBIO,POSITIVO,93
GENERAL,Comuna 01,1,28,342,UNION POR LA PATRIA,POSITIVO,87
GENERAL,Comuna 01,1,28,342,LA LIBERTAD AVANZA,POSITIVO,54
GENERAL,Comuna 01,1,28,342,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,POSITIVO,12
GENERAL,Comuna 01,1,28,342,HACEMOS POR NUESTRO PAIS,POSITIVO,6
GENERAL,Comuna 01,1,28,342,,EN BLANCO,9
